system   D            wsystem.c:583  maybe_parent_dir                 [   0.00241] Also searching C:\Users\Administrator\Documents\GitHub\PROJECT-HY454-2012\bubble bobble\src\Bubble Bobble\
display  D   display_settings.c:506  _al_score_display_settings       [   0.19813] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19814] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19816] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19817] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19819] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19821] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19823] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19825] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19827] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19828] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19830] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19831] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19834] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19835] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19837] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19838] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19840] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19842] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19844] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19845] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19847] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19849] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19851] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19852] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19854] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19856] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19858] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19859] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19861] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19863] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19865] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19866] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19868] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19870] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19872] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19873] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19875] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19877] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19879] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19880] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19883] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19884] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19886] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19888] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19890] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19891] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19893] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19895] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19897] Single Buffer requirement not met.
